"STATION","species1","species2","overlap"
"VINS","WEVI","RWBL",2.2011473730242e-11
"VINS","WEVI","BHCO",0.213224376723155
"VINS","WEVI","OROR",0.000165668217412691
"VINS","WEVI","AMGO",0.0758715319268794
"VINS","BEVI","CACH",1.7594409147788e-16
"VINS","BEVI","TUTI",2.85810250567256e-16
"VINS","BEVI","CARW",1.38567616316354e-16
"VINS","BEVI","BGGN",1.93180496279144e-11
"VINS","BEVI","GRCA",1.48536722791401e-08
"VINS","BEVI","BRTH",1.9447869886662e-16
"VINS","BEVI","BAWW",9.2239365943438e-07
"VINS","BEVI","PROW",0.440145225624688
"VINS","BEVI","KEWA",1.22523059732885e-07
"VINS","BEVI","MOWA",1.37095057078776e-16
"VINS","BEVI","COYE",1.45111538926217e-16
"VINS","BEVI","YBCH",1.28163325529539e-16
"VINS","BEVI","FISP",0.00501083013332576
"VINS","BEVI","NOCA",4.29533819611082e-15
"VINS","BEVI","INBU",1.40758446677318e-16
"VINS","BEVI","PABU",1.3392716637554e-16
"VINS","BEVI","DICK",0.216358164256024
"VINS","BEVI","RWBL",1.6110817477613e-16
"VINS","BEVI","BHCO",1.61857774579274e-05
"VINS","BEVI","OROR",1.43776860886815e-16
"VINS","BEVI","AMGO",3.68714519132019e-08
"VINS","CACH","TUTI",0.0740413527054519
"VINS","CACH","CARW",0.729369186253818
"VINS","CACH","BGGN",0.0162334987540006
"VINS","CACH","GRCA",0.016892097913565
"VINS","CACH","BRTH",0.516518615147128
"VINS","CACH","BAWW",8.42274892098968e-06
"VINS","CACH","PROW",4.50484047706306e-06
"VINS","CACH","KEWA",0.352541760065535
"VINS","CACH","MOWA",0.345150440742725
"VINS","CACH","COYE",0.78920419421719
"VINS","CACH","YBCH",0.681252097297273
"VINS","CACH","FISP",0.00393242020849321
"VINS","CACH","NOCA",0.0421633373345843
"VINS","CACH","INBU",0.221142203279989
"VINS","CACH","PABU",0.348072367683508
"VINS","CACH","DICK",8.1634187899396e-05
"VINS","CACH","RWBL",0.40543142031946
"VINS","CACH","BHCO",0.0305027982784385
"VINS","CACH","OROR",0.610706395291001
